"index"	"authorship"	"citation"	"title"	"year"	"journal"	"DOI"	"https"	"whether_included"	"criteria1"	"criteria2"	"criteria3"	"theme"	"subtheme"	"scenarios"	"model_type"	"model_name"	"time_horizon"	"database"	"preagg_region"	"postagg_region"	"included_regions"	"preagg_comm"	"postagg_comm"	"whether_coupled"	"coupled_model_type"	"coupled_model_name"	"coupled_sect"	"type_coupling"	"method_coupling"	"software"	"solver"	"whether_sensitivity"
157	"Kim I.S., Binfield J., Patton M., Zhang L., Moss J."	"(Kim et al., 2013)"	"Impact of increasing liquid biofuel usage on EU and UK agriculture"	2013	"Food Policy"	"10.1016/j.foodpol.2012.10.006"	"https://doi.org/10.1016/j.foodpol.2012.10.006"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"bioenergy"	"biofuel related"	"SP"	"UK-FAPRI"	"2018"	NA	NA	3	"Europe,Rest of World,United Kingdom"	NA	8	"Yes"	"agricultural supply and biofuels"	"UK Biofuels Model, EU GOLD Model, EU Biofuels Model"	"agriculture, biofuels"	"tight"	"both"	"unspecified"	""	"No"
158	"Kotevska A., Dimitriveski D., Erjavec E."	"(Kotevska et al., 2013)"	"Macedonian livestock, dairy and grain sectors and the EU accession impact"	2013	"Agricultural Economics (Czech Republic)"	""	"https://www.researchgate.net/profile/Emil_Erjavec/publication/258725883_Macedonian_livestock_dairy_and_grain_sectors_and_the_EU_accession_impact/links/59706d3f4585158a4805e5ad/Macedonian-livestock-dairy-and-grain-sectors-and-the-EU-accession-impact.pdf"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"agriculture related,FTA related"	"SP"	"AGMEMOD"	"2020"	"OECD, State Statistical Office"	NA	2	"Europe,Macedonia"	NA	7	"No"	""	""	""	""	""	"unspecified"	""	"No"
159	"Lanzi E., Sue Wing I."	"(Lanzi and Sue Wing, 2013)"	"Capital Malleability, Emission Leakage and the Cost of Partial Climate Policies: General Equilibrium Analysis of the European Union Emission Trading System"	2013	"Environmental and Resource Economics"	"10.1007/s10640-012-9625-8"	"https://doi.org/10.1007/s10640-012-9625-8"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"capital related,emissions/CO2 related"	"SG"	""	"2012"	"GTAP7"	113	24	"Austria,Belgium,Czech Republic,Denmark,EFTA,Finland,France,FSU_o,Germany,Greece,Hungary,Ireland,Italy,Netherlands,North America,Poland,Portugal,Rest of EU,Rest of Europe,Rest of World,Russia/FSU,Spain,Sweden,United Kingdom"	57	14	"No"	""	""	""	""	""	"GAMS-MPSGE"	"PATH"	"Yes"
160	"Liu Y., Feng S., Cai S., Zhang Y., Zhou X., Chen Y., Chen Z."	"(Liu et al., 2013)"	"Carbon emission trading system of China: A linked market vs. separated markets"	2013	"Frontiers of Earth Science"	"10.1007/s11707-013-0385-8"	"https://doi.org/10.1007/s11707-013-0385-8"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"linked interprovincial markets,separated provincial markets"	"SG"	"Sino-TERMSCo2"	"2007"	"2007 China input-output tables"	NA	2	"Guangdong,Hubei"	NA	12	"No"	""	""	""	""	""	"unspecified"	""	"No"
161	"Meng S., Siriwardana M., McNeill J."	"(Meng et al., 2013)"	"The Environmental and Economic Impact of the Carbon Tax in Australia"	2013	"Environmental and Resource Economics"	"10.1007/s10640-012-9600-4"	"https://doi.org/10.1007/s10640-012-9600-4"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,emissions/CO2 related"	"SG"	"ORANI-G-based"	"2005"	"2004-2005 Australian Input-Output Tables"	NA	1	"Australia"	109	35	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
162	"Mold A., Prizzon A."	"(Mold and Prizzon, 2013)"	"South-south trade liberalisation as a way of reducing the impact of the financial crisis? An exploratory cge simulation"	2013	"Journal of International Development"	"10.1002/jid.2970"	"https://doi.org/10.1002/jid.2970"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"GTAP"	"2012"	"GTAP7"	113	3	"North,Rest of World,South"	57	3	"No"	""	""	""	""	""	"unspecified"	""	"No"
163	"Nahar B., Siriwardana M."	"(Nahar and Siriwardana, 2013)"	"Trade opening, fiscal reforms, poverty, and inequality: A CGE analysis for Bangladesh"	2013	"Developing Economies"	"10.1111/deve.12009"	"https://doi.org/10.1111/deve.12009"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"IDC-GEM based"	"2000"	"2000 Bangladesh SAM"	NA	2	"Bangladesh,Rest of World"	86	25	"No"	""	""	""	""	""	"GEMPack"	""	"Yes"
164	"Niu Y., Chen W., Wu Z."	"(Niu et al., 2013)"	"The economic and environmental impact on China of carbon tariffs based on gage model"	2013	"Energy and Environment"	"10.1260/0958-305X.24.7-8.1295"	"https://doi.org/10.1260/0958-305X.24.7-8.1295"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"SG"	"GAGE"	"2001"	"GTAP6"	87	6	"China,Europe,India,other Annex 1,other non-Annex 1,United States"	57	8	"No"	""	""	""	""	""	"GAMS"	""	"No"
165	"Rafajlovic J., Cardwell R."	"(Rafajlovic and Cardwell, 2013)"	"The effects of a new WTO agreement on canada's chicken market: A differentiated products modeling approach"	2013	"Canadian Journal of Agricultural Economics"	"10.1111/cjag.12002"	"https://doi.org/10.1111/cjag.12002"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SP"	""	"2007"	"USDA"	NA	2	"Canada,Rest of World"	NA	2	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
166	"Schenker O."	"(Schenker 2013)"	"Exchanging Goods and Damages: The Role of Trade on the Distribution of Climate Change Costs"	2013	"Environmental and Resource Economics"	"10.1007/s10640-012-9593-z"	"https://doi.org/10.1007/s10640-012-9593-z"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"SRES"	"SG"	"Ramsey"	"2100"	"GTAP7"	113	12	"Africa,China,Eurasia,Europe,India,Japan,LAM/LAC/SAM,Middle East,other Asia,other high income,Russia/FSU,United States"	57	4	"Yes"	"general circulation model"	"ECHAM5"	"climate"	"loose"	"Coupled model output used in CGE/PE input"	"GAMS"	""	"Yes"
167	"Seymore R., Van Heerden J.H., Mabugu M."	"(Seymore et al., 2013)"	"The impact of a multilateral electricity generation tax on competitiveness in southern africa: A computable general equilibrium analysis using the global trade analysis project"	2013	"Energy and Environment"	"10.1260/0958-305X.24.6.917"	"https://doi.org/10.1260/0958-305X.24.6.917"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"tax related"	"SG"	"GTAP"	"2004"	"GTAP7"	113	5	"Angola_Congo - Kinshasa_Madagascar_Malawi_Mauritius_Mozambique_Tanzania_Zambia_Zimbabwe,Botswana_Lesotho_Namibia_Swaziland,Europe,Rest of World,South Africa/SACU"	57	11	"No"	""	""	""	""	""	"GEMPack"	""	"No"
168	"Stevenson J.R., Villoria N., Byerlee D., Kelley T., Maredia M."	"(Stevenson et al., 2013)"	"Green Revolution research saved an estimated 18 to 27 million hectares from being brought into agricultural production"	2013	"Proceedings of the National Academy of Sciences of the United States of America"	"10.1073/pnas.1208065110"	"https://doi.org/10.1073/pnas.1208065110"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"counterfactual"	"SG"	"GTAP-AEZ"	"2005"	"FAOSTAT, Economic Analysis of Land-use in Global Climate Change Policy (2009)"	18	7	"developing countries,LAM/LAC/SAM,MENA,Rest of Asia,Rest of World,SEA,sub-Saharan Africa"	NA	10	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
169	"Taheripour F., Hertel T.W., Liu J."	"(Taheripour et al., 2013)"	"The role of irrigation in determining the global land use impacts of biofuels"	2013	"Energy, Sustainability and Society"	"10.1186/2192-0567-3-4"	"https://doi.org/10.1186/2192-0567-3-4"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"bioenergy"	"hydrological,hydrological,hydrological"	"SG"	"GTAP-BIO-AEZ"	"2001"	"GTAP6"	87	19	"Brazil,Canada,China,East Asia,Eastern Europe_Rest of Former Soviet Union,Europe,India,Indonesia_Malaysia,Japan,LAM/LAC/SAM,LAM/LAC/SAM,MENA,Oceania,other Europe,Rest of South Asia,Rest SEA,Russia/FSU,sub-Saharan Africa,United States"	57	8	"No"	""	""	""	""	""	"unspecified"	""	"No"
170	"Timilsina G.R., Chisari O.O., Romero C.A."	"(Timilsina et al., 2013)"	"Economy-wide impacts of biofuels in Argentina"	2013	"Energy Policy"	"10.1016/j.enpol.2012.12.060"	"https://doi.org/10.1016/j.enpol.2012.12.060"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"bioenergy"	"demand change,export related,non market based incentives"	"RDG"	""	"2012"	"Argentina 2006 SAM"	NA	2	"Argentina,Rest of World"	NA	29	"No"	""	""	""	""	""	"GAMS-MPSGE"	""	"Yes"
171	"Timilsina G.R., Mevel S."	"(Timilsina and Mevel, 2013)"	"Biofuels and Climate Change Mitigation: A CGE Analysis Incorporating Land-Use Change"	2013	"Environmental and Resource Economics"	"10.1007/s10640-012-9609-8"	"https://doi.org/10.1007/s10640-012-9609-8"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"bioenergy"	"biofuel related,double targets"	"RDG"	"World Bank CGE"	"2040"	"GTAP7"	113	25	"ANZ,Argentina,Brazil,Canada,Caribbean_Rest of Latin America,China,Europe,France,Germany,India,Indonesia,Italy,Japan,Malaysia,MENA,Oceania_Rest of East Asia,Rest of LAM/LAC/SAM,Rest of SSA,Russia/FSU,Russia/FSU,South Africa/SACU,Spain,Thailand,United Kingdom,United States"	57	28	"No"	""	""	""	""	""	"unspecified"	""	"No"
172	"Vázquez-Rowe I., Rege S., Marvuglia A., Thénie J., Haurie A., Benetto E."	"(Vázquez-Rowe et al., 2013)"	"Application of three independent consequential LCA approaches to the agricultural sector in Luxembourg"	2013	"International Journal of Life Cycle Assessment"	"10.1007/s11367-013-0604-2"	"https://doi.org/10.1007/s11367-013-0604-2"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"agriculture related,other trade related"	"SP"	""	"2020"	"FAOSTAT"	NA	2	"Luxembourg,Rest of World"	NA	21	"No"	""	""	""	""	""	"unspecified"	""	"No"
173	"Vöhringer F., Grether J.-M., Mathys N.A."	"(Vöhringer et al., 2013)"	"Trade and Climate Policies: Do Emissions from International Transport Matter?"	2013	"World Economy"	"10.1111/twec.12052"	"https://doi.org/10.1111/twec.12052"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,liberalization"	"SG"	"GENEwMod"	"2001"	"GTAP6"	87	19	"Australia,Brazil,Canada,China,France,Germany,Italy,Japan,Mexico,Middle East,North Africa,Rest of East Asia,Rest of Europe,Rest of Latin America,Russia/FSU,South Asia,sub-Saharan Africa,United Kingdom,United States"	57	5	"No"	""	""	""	""	""	"GAMS"	""	"Yes"
174	"Wianwiwat S., Asafu-Adjaye J."	"(Wianwiwat and Asafu-Adjaye, 2013)"	"Is there a role for biofuels in promoting energy self sufficiency and security? A CGE analysis of biofuel policy in Thailand"	2013	"Energy Policy"	"10.1016/j.enpol.2012.12.054"	"https://doi.org/10.1016/j.enpol.2012.12.054"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"bioenergy"	"fossil fuel related"	"SG"	""	"2011"	"2011 Thailand SAM, GTAP6"	NA	2	"Rest of World,Thailand"	NA	62	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
175	"Yang J., Zhang W., Tokgoz S."	"(Yang et al., 2013)"	"Macroeconomic impacts of Chinese currency appreciation on China and the Rest of World: A global CGE analysis"	2013	"Journal of Policy Modeling"	"10.1016/j.jpolmod.2013.07.003"	"https://doi.org/10.1016/j.jpolmod.2013.07.003"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"currency appreciation/depreciation"	"RDG"	"GTAP"	"2010"	"GTAP7"	113	7	"ANZ,China,Europe,Japan_South Korea,Rest of World,SEA,United States"	57	22	"No"	""	""	""	""	""	"unspecified"	""	"No"
176	"Zaki C."	"(Zaki 2013)"	"Trade facilitation and corruption:A CGE model of Egypt"	2013	"Journal of North African Studies"	"10.1080/13629387.2012.731165"	"https://doi.org/10.1080/13629387.2012.731165"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"corruption,liberalization"	"RDG"	"Exter"	"2020"	"Egyptian SAM 2000/2001"	NA	2	"Egypt,Rest of World"	NA	17	"No"	""	""	""	""	""	"GAMS"	"CNS"	"Yes"
177	"Zhou X., Yano T., Kojima S."	"(Zhou et al., 2013)"	"Proposal for a national inventory adjustment for trade in the presence of border carbon adjustment: Assessing carbon tax policy in Japan"	2013	"Energy Policy"	"10.1016/j.enpol.2013.09.016"	"https://doi.org/10.1016/j.enpol.2013.09.016"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"border adjustment,emissions/CO2 related"	"SG"	"GTAP6inGAMS"	"2020"	"GTAP7"	113	7	"China,India,Japan,Rest of World,SEA,South Korea,United States"	57	39	"No"	""	""	""	""	""	"GAMS"	""	"Yes"
178	"Acharya S."	"(Acharya 2014)"	"Trade liberalisation in fixed and flexible exchange rate regimes: A CGE analysis for Nepal"	2014	"Journal of Economic Policy Reform"	"10.1080/17487870.2013.843896"	"https://doi.org/10.1080/17487870.2013.843896"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"Nepal CGE"	"2006"	"Nepal SAM 2006"	NA	2	"Nepal,Rest of World"	NA	4	"No"	""	""	""	""	""	"unspecified"	""	"No"
179	"Anderson K., Strutt A."	"(Anderson and Strutt, 2014)"	"Emerging economies, productivity growth and trade with resource-rich economies by 2030"	2014	"Australian Journal of Agricultural and Resource Economics"	"10.1111/1467-8489.12039"	"https://doi.org/10.1111/1467-8489.12039"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"growth change"	"SG"	"GTAP"	"2030"	"GTAP8.1"	134	35	"Argentina,Australia,Bangladesh,Brazil,Canada,Central Asia,Chile,China,Hong Kong,India,Indonesia,Japan,Malaysia,MENA,Mexico,New Zealand Rest of Latin America,Pacific Islands,Pakistan,Peru,Philippines,Rest of Eastern Europe,Rest of Northeast Asia,Rest of SEA,Rest of South Asia,Rest of SSA,Rest of World,Russia/FSU,Singapore,South Africa/SACU,South Korea,Taiwan,Thailand,United States,Vietnam,Western Europe"	57	4	"No"	""	""	""	""	""	"unspecified"	""	"No"
180	"Anderson K., Strutt A."	"(Anderson and Strutt, 2014)"	"Growth in Densely Populated Asia: Implications for Primary Product Exporters"	2014	"Asia and the Pacific Policy Studies"	"10.1002/app5.14"	"https://doi.org/10.1002/app5.14"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"agriculture related"	"SG"	"GTAP"	"2030"	"GTAP8.1"	134	10	"Australia,Canada_United States,China,Europe,LAM/LAC/SAM,MENA,New Zealand,Rest of East Asia,South Asia,sub-Saharan Africa"	57	12	"No"	""	""	""	""	""	"unspecified"	""	"No"
181	"Arora V., Cai Y."	"(Arora and Cai, 2014)"	"U.S. natural gas exports and their global impacts"	2014	"Applied Energy"	"10.1016/j.apenergy.2014.01.054"	"https://doi.org/10.1016/j.apenergy.2014.01.054"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"export related"	"RDG"	"CTEM"	"2035"	"GTAP8"	129	9	"Canada,China,Europe,Japan,Mexico,OPEC,Rest of World,Russia/FSU,United States"	57	19	"No"	""	""	""	""	""	"unspecified"	""	"ambiguous"
182	"Boeters S."	"(Boeters 2014)"	"Optimally differentiated carbon prices for unilateral climate policy"	2014	"Energy Economics"	"10.1016/j.eneco.2014.07.015"	"https://doi.org/10.1016/j.eneco.2014.07.015"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"RDG"	"WorldScan"	"2020"	"GTAP7"	113	9	"Brazil,China,Europe,India,other OECD,other SEA,Rest of World,Russia/FSU,United States"	57	16	"No"	""	""	""	""	""	"GAMS"	""	"ambiguous"
183	"Böhringer C., Fischer C., Rosendahl K.E."	"(Böhringer et al., 2014)"	"Cost-effective unilateral climate policy design: Size matters"	2014	"Journal of Environmental Economics and Management"	"10.1016/j.jeem.2013.12.008"	"https://doi.org/10.1016/j.jeem.2013.12.008"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"border adjustment,border adjustment,output-based rebates"	"SG"	""	"2004"	"GTAP7"	113	16	"ANZ,Brazil,Canada,China,Europe,India,Japan,OPEC,other Africa,other America,other Asia,other FSU,Rest of Annex 1 countries,Russia/FSU,South Africa/SACU,United States"	57	12	"No"	""	""	""	""	""	"GAMS"	""	"Yes"
184	"Brockmeier M., Bektasoglu B."	"(Brockmeier and Bektasoglu, 2014)"	"Model structure or data aggregation level: Which leads to greater bias of results?"	2014	"Economic Modelling"	"10.1016/j.econmod.2014.01.003"	"https://doi.org/10.1016/j.econmod.2014.01.003"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"GTAP"	"2007"	"GTAP8"	129	8	"Asia,Europe,LAM/LAC/SAM,MENA,North America,Oceania,Rest of World,sub-Saharan Africa"	57	20	"No"	""	""	""	""	""	"GEMPack"	""	"Yes"
185	"Calzadilla A., Zhu T., Rehdanz K., Tol R.S.J., Ringler C."	"(Calzadilla et al., 2014)"	"Climate change and agriculture: Impacts and adaptation options in South Africa"	2014	"Water Resources and Economics"	"10.1016/j.wre.2014.03.001"	"https://doi.org/10.1016/j.wre.2014.03.001"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"SRES,SRES"	"SPG"	"GTAP-W"	"2050"	"IMPACT, GTAP6"	115	17	"ANZ,Canada,China,Eastern Europe,Japan_South Korea,LAM/LAC/SAM,LAM/LAC/SAM,Middle East,North Africa,Rest of World,Russia/FSU,SEA,South Africa/SACU,South Asia,sub-Saharan Africa,United States,Western Europe"	38	22	"Yes"	"partial equilibrium"	"IMPACT"	"hydrology"	"loose"	"Coupled model output used in CGE/PE input"	"unspecified"	""	"Yes"
186	"Cho S.-W., Yoon G."	"(Cho and Yoon, 2014)"	"Sectoral analysis of an Australia-India free trade agreement"	2014	"Journal of the Asia Pacific Economy"	"10.1080/13547860.2013.820469"	"https://doi.org/10.1080/13547860.2013.820469"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"Shoven-Whalley"	"2005"	"2005 Australia SAM"	NA	3	"Australia,India,Rest of World"	NA	7	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
187	"Cologni A., Manera M."	"(Cologni and Manera, 2014)"	"On the economic determinants of oil production: Theoretical analysis and empirical evidence for small exporting countries"	2014	"Energy Economics"	"10.1016/j.eneco.2014.03.019"	"https://doi.org/10.1016/j.eneco.2014.03.019"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"demand change"	"SP"	""	"2009"	"EIA"	NA	18	"Algeria,Brazil,Canada,Colombia,Ecuador,Egypt,Indonesia,Iran,Kuwait,Libya,Malaysia,Mexico,Nigeria,Norway,Russia/FSU,Saudi Arabia,United States,Venezuela"	NA	1	"No"	""	""	""	""	""	"unspecified"	""	"No"
188	"Daenzer K., Wing I.S., Fisher-Vanden K."	"(Daenzer et al., 2014)"	"Coal's medium-run future under atmospheric greenhouse gas stabilization"	2014	"Climatic Change"	"10.1007/s10584-014-1094-3"	"https://doi.org/10.1007/s10584-014-1094-3"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,emissions/CO2 related"	"RDG"	"Phoenix"	"2050"	"GTAP7"	113	24	"ANZ,Brazil,Canada,China,CIS,Eastern Europe,EFTA,Europe,India,Indonesia,Japan,LAM/LAC/SAM,Mexico,Middle East,North Africa,Rest of Latin America,Rest of World,Russia/FSU,Russia/FSU,South Africa/SACU,South Asia,South Korea,sub-Saharan Africa,United States"	57	26	"No"	""	""	""	""	""	"GAMS-MPSGE"	"PATH"	"ambiguous"
189	"Elliott J., Fullerton D."	"(Elliott and Fullerton, 2014)"	"Can a unilateral carbon tax reduce emissions elsewhere?"	2014	"Resource and Energy Economics"	"10.1016/j.reseneeco.2013.11.003"	"https://doi.org/10.1016/j.reseneeco.2013.11.003"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"SG"	"CIM-EARTH"	"2004"	"GTAP7"	113	16	"Brazil,Canada,Europe,India,Japan,MENA,Mexico,Oceania,Rest of East Asia,Rest of Europe,Rest of Latin America,Rest of South Asia,Russia/FSU,SEA,sub-Saharan Africa,United States"	57	16	"No"	""	""	""	""	""	"unspecified"	""	"No"
190	"Engelbert T., Bektasoglu B., Brockmeier M."	"(Engelbert et al., 2014)"	"Moving toward the EU or the Middle East? An assessment of alternative Turkish foreign policies utilizing the GTAP framework"	2014	"Food Policy"	"10.1016/j.foodpol.2014.04.004"	"https://doi.org/10.1016/j.foodpol.2014.04.004"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"import related,non-tariff barrier"	"SG"	"RunGTAP"	"2020"	"GTAP8"	129	14	"Albania,Asia,Chile,Europe,Georgia,Iran_Israel,LAM/LAC/SAM,MENA,North America,Oceania,Rest of World,Russia/FSU,sub-Saharan Africa,Turkey"	57	24	"No"	""	""	""	""	""	"GEMPack"	""	"No"
191	"Fellmann T., Hélaine S., Nekhay O."	"(Fellmann et al., 2014)"	"Harvest failures, temporary export restrictions and global food security: the example of limited grain exports from Russia, Ukraine and Kazakhstan"	2014	"Food Security"	"10.1007/s12571-014-0372-2"	"https://doi.org/10.1007/s12571-014-0372-2"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"export related,export related,export related,production/productivity change"	"RDP"	"AGLINK-COSIMO"	"2021"	"OECD-FAO, DG AGRI"	NA	5	"Egypt,Kazakhstan,Rest of World,Russia/FSU,Ukraine"	NA	2	"No"	""	""	""	""	""	"unspecified"	""	"No"
192	"Frey M., Olekseyuk Z."	"(Frey and Olekseyuk, 2014)"	"A general equilibrium evaluation of the fiscal costs of trade liberalization in Ukraine"	2014	"Empirica"	"10.1007/s10663-014-9249-z"	"https://doi.org/10.1007/s10663-014-9249-z"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"foreign aid,liberalization,tax related"	"SG"	""	"2007"	"2007 Ukraine SAM, Comtrade"	NA	9	"Africa,Asia,CIS,Eastern Europe,Europe,other Europe,Rest of World,Russia/FSU,United States"	NA	17	"No"	""	""	""	""	""	"GAMS-MPSGE"	""	"Yes"
193	"Gbegbelegbe S., Chung U., Shiferaw B., Msangi S., Tesfaye K."	"(Gbegbelegbe et al., 2014)"	"Quantifying the impact of weather extremes on global food security: A spatial bio-economic approach"	2014	"Weather and Climate Extremes"	"10.1016/j.wace.2014.05.005"	"https://doi.org/10.1016/j.wace.2014.05.005"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"extreme weather,SRES,SRES"	"SP"	"IMPACT"	"2050"	"FAOSTAT, OECD"	NA	7	"CWANA,LAM/LAC/SAM,Rest of World,SEA,South Asia,sub-Saharan Africa,United States"	NA	3	"Yes"	"crop productivity"	"GRASS, DSSAT"	"crop and spatial"	"loose"	"Coupled model output used in CGE/PE input"	"unspecified"	""	"No"
194	"Ge J., Lei Y., Tokunaga S."	"(Ge et al., 2014)"	"Non-grain fuel ethanol expansion and its effects on food security: A computable general equilibrium analysis for China"	2014	"Energy"	"10.1016/j.energy.2013.10.093"	"https://doi.org/10.1016/j.energy.2013.10.093"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"land supply increase"	"SG"	""	"2007"	"2007 China SAM"	NA	9	"East China_Middle China,Loess Plateau,North China,Northeast China,Northwest China,Qingzang Plateau,Rest of World,South China,Southwest China"	NA	3	"No"	""	""	""	""	""	"GAMS"	"CONOPT3"	"Yes"
195	"Gerlagh R., Kuik O."	"(Gerlagh and Kuik, 2014)"	"Spill or leak? Carbon leakage with international technology spillovers: A CGE analysis"	2014	"Energy Economics"	"10.1016/j.eneco.2014.07.017"	"https://doi.org/10.1016/j.eneco.2014.07.017"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,growth change"	"SG"	"GTAP-E"	"2007"	"GTAP-E-8.1"	129	9	"China,Energy Exporting Countries,Europe,India,Japan,Rest of Asia,Rest of World,Russia/FSU,United States"	57	9	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
196	"Hagemejer J., Michalek J.J., Michałek T."	"(Hagemejer et al., 2014)"	"Liberalization of services in Europe: Polish perspective on economic implications of the Services Directive"	2014	"Journal of Policy Modeling"	"10.1016/j.jpolmod.2012.01.013"	"https://doi.org/10.1016/j.jpolmod.2012.01.013"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"GTAP"	"2001"	"GTAP6"	87	17	"Austria,Belgium,Czech Republic,Europe,France,Germany,Hungary,Italy,Netherlands,Poland,Rest of Europe,Rest of NMS,Rest of World,Russia/FSU,Sweden,United Kingdom,United States"	57	12	"No"	""	""	""	""	""	"unspecified"	""	"No"
197	"Hosoe N."	"(Hosoe 2014)"	"Japanese manufacturing facing post-Fukushima power crisis: a dynamic computable general equilibrium analysis with foreign direct investment"	2014	"Applied Economics"	"10.1080/00036846.2014.892198"	"https://doi.org/10.1080/00036846.2014.892198"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"power shortage"	"RDG"	""	"2037"	"GTAP8"	129	3	"China,Japan,Rest of World"	57	20	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
198	"Hu X., Shi G., Hodges D.G."	"(Hu et al., 2014)"	"International market leakage from China's forestry policies"	2014	"Forests"	"10.3390/f5112613"	"https://doi.org/10.3390/f5112613"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"forestry"	"forest related,import related"	"SG"	"GTAP"	"2004"	"GTAP7"	113	8	"China,Europe,LAM/LAC/SAM,North America,Oceania,Rest of World,Russia/FSU,SEA"	57	9	"No"	""	""	""	""	""	"unspecified"	""	"No"
199	"Itakura K."	"(Itakura 2014)"	"Impact of liberalization and improved connectivity and facilitation in ASEAN"	2014	"Journal of Asian Economics"	"10.1016/j.asieco.2014.09.002"	"https://doi.org/10.1016/j.asieco.2014.09.002"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related,import related"	"RDG"	"GTAP-Dyn"	"2015"	"GTAP7.1"	112	22	"ANZ,Cambodia,Canada,Chile_Peru,China,Europe,India,Indonesia,Japan,Laos,Malaysia,Mexico,Philippines,Rest of SEA,Rest of World,Russia/FSU,Singapore,South Korea,Taiwan,Thailand,United States,Vietnam"	57	23	"No"	""	""	""	""	""	"unspecified"	""	"No"
200	"Jean S., Mulder N., Ramos M.P."	"(Jean et al., 2014)"	"A general equilibrium, ex-post evaluation of the EU-Chile Free Trade Agreement"	2014	"Economic Modelling"	"10.1016/j.econmod.2014.04.025"	"https://doi.org/10.1016/j.econmod.2014.04.025"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related"	"SG"	""	"2008"	"TARIC (DG Taxud), Comext (Eurostat)"	NA	5	"Chile,Europe,LAM/LAC/SAM,Rest of World,United States"	199	37	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
